"country","team","scored_points"
"Spain","Real Madrid",2.71428571428571
"Spain","Sevilla",2.71428571428571
"Spain","Villarreal",2.28571428571429
"Spain","Real Betis",1.42857142857143
"Germany","Eintracht Frankfurt",3.42857142857143
"Germany","Bayern München",2.85714285714286
"Germany","Borussia Dortmund",2.57142857142857
"Germany","Schalke 04",2.42857142857143
"Germany","Bayer Leverkusen",1.57142857142857
"Germany","RB Leipzig",1.35714285714286
"Germany","1899 Hoffenheim",1
"Italy","Juventus",3
"Italy","Napoli",2.57142857142857
"Italy","AS Roma",2.42857142857143
"Italy","Internazionale",2.14285714285714
"Italy","AC Milan",1
"Italy","Lazio",0.857142857142857
"Italy","Atalanta",0.642857142857143
"Portugal","FC Porto",4.6
"Portugal","Benfica",4
"Portugal","Sporting CP Lisbon",2
"Portugal","Sporting Braga",0.2
"Portugal","Rio Ave",0.1
"France","Paris Saint-Germain",3.16666666666667
"France","Olympique Lyon",2.83333333333333
"France","Stade Rennais",1.83333333333333
"France","Girondins Bordeaux",1.75
"France","AS Monaco",0.833333333333333
"France","Olympique Marseille",0.166666666666667
"Netherlands","Ajax",6.4
"Netherlands","PSV Eindhoven",1.6
"Netherlands","Vitesse Arnhem",0.3
"Netherlands","AZ Alkmaar",0.2
"Netherlands","Feyenoord",0.1
"Belgium","Racing Genk",3
"Belgium","Club Brugge",2.2
"Belgium","Standard Liège",1.5
"Belgium","Anderlecht",0.6
"Belgium","AA Gent",0.5
"Russia","Zenit St. Petersburg",2
"Russia","FK Krasnodar",1.83333333333333
"Russia","CSKA Moscow",1.5
"Russia","Lokomotiv Moscow",1
"Russia","Spartak Moscow",0.75
"Russia","FC Ufa",0.5
"Scotland","Celtic",2.875
"Scotland","Glasgow Rangers",2.75
"Scotland","Hibernian",1
"Scotland","Aberdeen",0.125
"Czech Republic","Slavia Praha",2.9
"Czech Republic","Viktoria Plzen",2.2
"Czech Republic","FK Jablonec",0.8
"Czech Republic","Sigma Olomouc",0.4
"Czech Republic","Sparta Praha",0.2
"Austria","FC Salzburg",3.8
"Austria","Rapid Wien",1.8
"Austria","LASK Linz",0.6
"Austria","Admira Wacker",0
"Austria","Sturm Graz",0
"Cyprus","Apollon Limassol",2.5
"Cyprus","AEK Larnaca",2.25
"Cyprus","81",0
"Cyprus","APOEL Nicosia",1.125
"Cyprus","Anorthosis Famagusta",0.25
"Serbia","Red Star Belgrade",3.25
"Serbia","Partizan Belgrade",1.5
"Serbia","Radnicki Nis",0.625
"Serbia","Spartak Subotica",0.625
"Croatia","Dinamo Zagreb",4.5
"Croatia","Hajduk Split",0.625
"Croatia","NK Osijek",0.5
"Croatia","NK Rijeka",0.125
"Ukraine","Dinamo Kiev",2.6
"Ukraine","Shakhtar Donetsk",2
"Ukraine","Vorskla Poltava",0.4
"Ukraine","FC Mariupol",0.3
"Ukraine","Zorya Luhansk",0.3
"Turkey","Besiktas",1.9
"Turkey","Fenerbahçe",1.7
"Turkey","Galatasaray",1.6
"Turkey","Akhisarspor",0.2
"Turkey","Istanbul Basaksehir",0.1
"Norway","Sarpsborg 08",2.375
"Norway","Rosenborg BK",1.625
"Norway","Molde FK",1.375
"Norway","Lillestrøm SK",0
"Slovakia","Spartak Trnava",2.375
"Slovakia","AS Trencín",1.375
"Slovakia","Slovan Bratislava",1
"Slovakia","DAC Dunajska Streda",0.375
"Greece","Olympiakos Piraeus",2.3
"Greece","AEK Athens",1.4
"Greece","PAOK Thessaloniki",1.2
"Greece","Atromitos FC",0.1
"Greece","Asteras Tripolis",0.1
"Belarus","BATE Borisov",2.75
"Belarus","Dinamo Minsk",1
"Belarus","Shakhtior Saligorsk",0.625
"Belarus","Dynamo Brest",0.625
"Denmark","FC København",2.625
"Denmark","FC Nordsjælland",1
"Denmark","FC Midtjylland",0.75
"Denmark","Brøndby IF",0.5
"Kazakhstan","FK Astana",2.625
"Kazakhstan","Tobol Kustanai",0.75
"Kazakhstan","Kairat Almaty",0.75
"Kazakhstan","Irtysh Pavlodar",0.125
"Sweden","Malmö FF",3.25
"Sweden","AIK Stockholm",0.375
"Sweden","BK Häcken",0.375
"Sweden","Djurgårdens IF",0.125
"Bulgaria","Ludogorets Razgrad",2.5
"Bulgaria","CSKA Sofia",0.75
"Bulgaria","Slavia Sofia",0.5
"Bulgaria","Levski Sofia",0.25
"Switzerland","Young Boys",1.7
"Switzerland","FC Zürich",1.4
"Switzerland","FC Basel",0.6
"Switzerland","FC Sankt Gallen",0.2
"Switzerland","FC Luzern",0
"Hungary","Videoton Fehérvár",2.375
"Hungary","Honvéd Budapest",0.5
"Hungary","Újpest TE",0.25
"Hungary","Ferencváros",0.125
"Slovenia","Olimpija Ljubljana",1.125
"Slovenia","NK Maribor",1
"Slovenia","NK Domzale",0.5
"Slovenia","Rudar Velenje",0.5
"Israel","Maccabi Tel-Aviv",1.375
"Israel","Hapoel Beer-Sheva",0.75
"Israel","Hapoel Haifa",0.375
"Israel","Beitar Jerusalem",0.125
"Lithuania","FK Trakai",0.875
"Lithuania","Zalgiris Vilnius",0.75
"Lithuania","Suduva Marijampole",0.75
"Lithuania","Stumbras Kaunas",0.25
"Luxembourg","F91 Dudelange",1.625
"Luxembourg","Progrès Niederkorn",0.625
"Luxembourg","CS Fola Esch",0.25
"Luxembourg","Racing Union Luxembourg",0.125
"Kosovo","FC Prishtina",1.25
"Kosovo","FC Drita",1.25
"Romania","FCSB",1.125
"Romania","CFR Cluj",0.625
"Romania","Viitorul Constanta",0.5
"Romania","Universitatea Craiova",0.125
"Azerbaijan","Qarabag FK",1.625
"Azerbaijan","Gabala FK",0.25
"Azerbaijan","Neftchi Baku",0.25
"Azerbaijan","Kesla FK",0.25
"Poland","Legia Warsaw",0.875
"Poland","Lech Poznan",0.625
"Poland","Górnik Zabrze",0.375
"Poland","Jagiellonia Bialystok",0.375
"Bosnia-Herzegovina","FK Sarajevo",0.625
"Bosnia-Herzegovina","Zrinjski Mostar",0.625
"Bosnia-Herzegovina","Zeljeznicar Sarajevo",0.5
"Bosnia-Herzegovina","Siroki Brijeg",0.25
"Latvia","Spartaks Jurmala",0.75
"Latvia","FK Ventspils",0.375
"Latvia","Riga FC",0.25
"Latvia","FK Liepaja",0.25
"Georgia","Torpedo Kutaisi",1
"Georgia","Chikhura Sachkhere",0.5
"Georgia","Dinamo Tbilisi",0.125
"Georgia","Samtredia",0
"Liechtenstein","FC Vaduz",1.5
"Malta","Gzira United",0.5
"Malta","Balzan FC",0.5
"Malta","Valletta FC",0.375
"Malta","Birkirkara",0.125
"Iceland","Valur Reykjavik",0.75
"Iceland","FH Hafnarfjardar",0.5
"Iceland","Stjarnan FC",0.25
"Iceland","IBV Vestmannaeyjar",0
"Armenia","Pyunik Yerevan",0.875
"Armenia","Alashkert FC",0.375
"Armenia","Gandzasar Kapan",0.25
"Armenia","Banants Yerevan",0
"Moldova","Sheriff Tiraspol",0.875
"Moldova","Zaria Balti",0.125
"Moldova","Petrocub Hîncesti",0.125
"Moldova","Milsami Orhei",0
"Faroe Islands","B36 Torshavn",0.625
"Faroe Islands","KI Klaksvik",0.5
"Faroe Islands","NSI Runavik",0
"Faroe Islands","Víkingur",0
"Gibraltar","Lincoln Red Imps",0.5
"Gibraltar","St Joseph's FC",0.333333333333333
"Gibraltar","Europa FC",0.166666666666667
"Wales","The New Saints",0.625
"Wales","Bala Town",0.25
"Wales","Cefn Druids",0.125
"Wales","Connah's Quay",0
"Ireland","Dundalk",0.625
"Ireland","Derry City",0.25
"Ireland","Shamrock Rovers",0.125
"Ireland","Cork City",0
"North Macedonia","Shkendija Tetovo",0.625
"North Macedonia","Rabotnicki Skopje",0.25
"North Macedonia","FK Shkupi",0.125
"North Macedonia","Vardar Skopje",0
"Albania","FK Kukësi",0.625
"Albania","KF Laçi",0.25
"Albania","Luftëtari Gjirokastër",0.125
"Albania","Partizani Tirana",0
"Finland","HJK Helsinki",0.625
"Finland","FC Lahti",0.125
"Finland","KuPS Kuopio",0.125
"Finland","Ilves Tampere",0
"Andorra","UE Engordany",0.5
"Andorra","FC Santa Coloma",0.333333333333333
"Andorra","Sant Julià",0
"San Marino","Tre Fiori",0.333333333333333
"San Marino","Folgore",0.166666666666667
"San Marino","La Fiorita",0
"Northern Ireland","Glenavon",0.25
"Northern Ireland","Coleraine",0.125
"Northern Ireland","Crusaders Belfast",0.125
"Northern Ireland","Cliftonville",0
"Estonia","Kalju Nomme",0.25
"Estonia","Flora Tallinn",0.25
"Estonia","Trans Narva",0
"Estonia","Levadia Tallinn",0
"Montenegro","Buducnost Podgorica",0.125
"Montenegro","OFK Titograd",0.125
"Montenegro","Sutjeska Niksic",0.125
"Montenegro","Rudar Pljevlja",0
"England","Liverpool",4.57142857142857
"England","Manchester City",3.14285714285714
"England","Tottenham Hotspur",3
"England","Arsenal",3
"England","Manchester United",2.85714285714286
"England","Chelsea",2.57142857142857
"England","Everton",0.928571428571429
"Spain","Real Madrid",4.57142857142857
"Spain","Atlético Madrid",4
"Spain","FC Barcelona",3.57142857142857
"Spain","Sevilla",3.21428571428571
"Spain","Athletic Bilbao",1.92857142857143
"Spain","Real Sociedad",1.28571428571429
"Spain","Villarreal",1.14285714285714
"Italy","AS Roma",4.16666666666667
"Italy","Juventus",3.83333333333333
"Italy","Lazio",2.83333333333333
"Italy","AC Milan",2.66666666666667
"Italy","Napoli",2
"Italy","Atalanta",1.83333333333333
"Russia","CSKA Moscow",4.2
"Russia","Zenit St. Petersburg",3.2
"Russia","Lokomotiv Moscow",2.4
"Russia","Spartak Moscow",2.2
"Russia","FK Krasnodar",0.6
"France","Olympique Marseille",3.66666666666667
"France","Paris Saint-Germain",3.16666666666667
"France","Olympique Lyon",2.33333333333333
"France","OGC Nice",1.16666666666667
"France","AS Monaco",1
"France","Girondins Bordeaux",0.166666666666667
"Germany","Bayern München",4.14285714285714
"Germany","RB Leipzig",2.42857142857143
"Germany","Borussia Dortmund",1.42857142857143
"Germany","1.FC Köln",0.571428571428571
"Germany","Hertha BSC",0.571428571428571
"Germany","1899 Hoffenheim",0.571428571428571
"Germany","SC Freiburg",0.142857142857143
"Austria","FC Salzburg",6.5
"Austria","Austria Wien",1.625
"Austria","SCR Altach",1.25
"Austria","Sturm Graz",0.375
"Portugal","Sporting CP Lisbon",3.08333333333333
"Portugal","FC Porto",2.83333333333333
"Portugal","Sporting Braga",2.08333333333333
"Portugal","Benfica",0.666666666666667
"Portugal","Vitória Guimarães",0.666666666666667
"Portugal","Maritimo Funchal",0.333333333333333
"Ukraine","Shakhtar Donetsk",3.8
"Ukraine","Dinamo Kiev",2.9
"Ukraine","Zorya Luhansk",0.8
"Ukraine","FC Oleksandriya",0.4
"Ukraine","Olimpik Donetsk",0.1
"Cyprus","42",1
"Cyprus","APOEL Nicosia",2.625
"Cyprus","Apollon Limassol",1.875
"Cyprus","AEK Larnaca",1.375
"Cyprus","78",0
"Cyprus","AEL Limassol",1.125
"Turkey","Besiktas",3.8
"Turkey","Istanbul Basaksehir",1.6
"Turkey","Konyaspor",1
"Turkey","Fenerbahçe",0.3
"Turkey","Galatasaray",0.1
"Switzerland","FC Basel",3.8
"Switzerland","FC Lugano",1.2
"Switzerland","Young Boys",1.2
"Switzerland","FC Luzern",0.2
"Switzerland","FC Sion",0.1
"Serbia","Red Star Belgrade",3.5
"Serbia","Partizan Belgrade",2.625
"Serbia","Vojvodina Novi Sad",0.25
"Serbia","Mladost Lucani",0
"Israel","Maccabi Tel-Aviv",2.625
"Israel","Hapoel Beer-Sheva",1.75
"Israel","Beitar Jerusalem",0.625
"Israel","Bnei Yehuda",0.625
"Czech Republic","Viktoria Plzen",3
"Czech Republic","Slavia Praha",1.5
"Czech Republic","Mladá Boleslav",0.6
"Czech Republic","FC Zlin",0.4
"Czech Republic","Sparta Praha",0
"Sweden","Östersunds FK",3.625
"Sweden","AIK Stockholm",0.875
"Sweden","IFK Norrköping",0.75
"Sweden","Malmö FF",0.125
"Denmark","FC København",2.5
"Denmark","FC Midtjylland",1.375
"Denmark","Lyngby BK",1
"Denmark","Brøndby IF",0.375
"Croatia","NK Rijeka",2
"Croatia","NK Osijek",1.5
"Croatia","Hajduk Split",1
"Croatia","Dinamo Zagreb",0.625
"Greece","AEK Athens",2.1
"Greece","Olympiakos Piraeus",1.7
"Greece","PAOK Thessaloniki",0.5
"Greece","Panionios",0.4
"Greece","Panathinaikos",0.4
"Slovenia","NK Maribor",2.875
"Slovenia","NK Domzale",1.375
"Slovenia","Nova Gorica",0.375
"Slovenia","Olimpija Ljubljana",0
"Azerbaijan","Qarabag FK",2.625
"Azerbaijan","Inter Baku",0.75
"Azerbaijan","Zira FK",0.625
"Azerbaijan","Gabala FK",0.375
"Kazakhstan","FK Astana",2.875
"Kazakhstan","Kairat Almaty",0.625
"Kazakhstan","Irtysh Pavlodar",0.625
"Kazakhstan","Ordabasy Shymkent",0.125
"Scotland","Celtic",3.125
"Scotland","Aberdeen",0.625
"Scotland","Glasgow Rangers",0.25
"Scotland","St. Johnstone",0
"Norway","Rosenborg BK",2
"Norway","Odd Grenland",1.125
"Norway","FK Haugesund",0.625
"Norway","SK Brann Bergen",0.25
"Bulgaria","Ludogorets Razgrad",2.625
"Bulgaria","Botev Plovdiv",1
"Bulgaria","Levski Sofia",0.375
"Bulgaria","Dunav Ruse",0
"Belarus","BATE Borisov",2
"Belarus","Dinamo Minsk",1
"Belarus","Shakhtior Saligorsk",0.125
"Belarus","Dynamo Brest",0.125
"North Macedonia","Vardar Skopje",1.375
"North Macedonia","Shkendija Tetovo",1.125
"North Macedonia","Rabotnicki Skopje",0.625
"North Macedonia","Pelister Bitola",0
"Romania","FCSB",2.2
"Romania","Astra Giurgiu",0.4
"Romania","Viitorul Constanta",0.2
"Romania","Dinamo Bucuresti",0.1
"Romania","Universitatea Craiova",0
"Netherlands","Feyenoord",1.2
"Netherlands","Vitesse Arnhem",0.8
"Netherlands","FC Utrecht",0.7
"Netherlands","Ajax",0.2
"Netherlands","PSV Eindhoven",0
"Poland","Legia Warsaw",1
"Poland","Lech Poznan",1
"Poland","Jagiellonia Bialystok",0.625
"Poland","Arka Gdynia",0.25
"Moldova","Sheriff Tiraspol",2.375
"Moldova","Zaria Balti",0.25
"Moldova","Milsami Orhei",0.125
"Moldova","Dacia Chisinau",0
"Albania","Skënderbeu Korçë",2.375
"Albania","FK Kukësi",0.25
"Albania","KF Tirana",0
"Albania","Partizani Tirana",0
"Belgium","Anderlecht",1.2
"Belgium","Zulte Waregem",1
"Belgium","Club Brugge",0.2
"Belgium","AA Gent",0.1
"Belgium","KV Oostende",0.1
"Lithuania","Suduva Marijampole",1.125
"Lithuania","FK Trakai",1
"Lithuania","Zalgiris Vilnius",0.25
"Lithuania","Atlantas Klaipeda",0
"Liechtenstein","FC Vaduz",2
"Slovakia","AS Trencín",0.625
"Slovakia","Slovan Bratislava",0.5
"Slovakia","MFK Ruzomberok",0.5
"Slovakia","MSK Zilina",0.25
"Hungary","Videoton Fehérvár",1.125
"Hungary","Ferencváros",0.5
"Hungary","Honvéd Budapest",0
"Hungary","Vasas Budapest",0
"Malta","Valletta FC",0.625
"Malta","Hibernians FC",0.5
"Malta","Balzan FC",0.125
"Malta","Floriana",0.125
"Bosnia-Herzegovina","Siroki Brijeg",0.5
"Bosnia-Herzegovina","Zeljeznicar Sarajevo",0.5
"Bosnia-Herzegovina","FK Sarajevo",0.25
"Bosnia-Herzegovina","Zrinjski Mostar",0.125
"Finland","VPS Vaasa",0.75
"Finland","HJK Helsinki",0.375
"Finland","SJK Seinäjoki",0.125
"Finland","IFK Mariehamn",0
"Montenegro","Mladost Podgorica",0.75
"Montenegro","Buducnost Podgorica",0.125
"Montenegro","Sutjeska Niksic",0.125
"Montenegro","Zeta Golubovci",0.125
"Ireland","Shamrock Rovers",0.5
"Ireland","Cork City",0.5
"Ireland","Dundalk",0.125
"Ireland","Derry City",0
"Iceland","Valur Reykjavik",0.375
"Iceland","KR Reykjavik",0.375
"Iceland","FH Hafnarfjardar",0.375
"Iceland","Stjarnan FC",0
"Luxembourg","CS Fola Esch",0.625
"Luxembourg","Progrès Niederkorn",0.25
"Luxembourg","F91 Dudelange",0
"Luxembourg","Differdange 03",0
"Faroe Islands","Víkingur",0.625
"Faroe Islands","KI Klaksvik",0.125
"Faroe Islands","NSI Runavik",0
"Faroe Islands","B36 Torshavn",0
"Northern Ireland","Linfield Belfast",0.375
"Northern Ireland","Crusaders Belfast",0.25
"Northern Ireland","Coleraine",0.125
"Northern Ireland","Ballymena United",0
"Latvia","FK Liepaja",0.5
"Latvia","Spartaks Jurmala",0.125
"Latvia","FK Ventspils",0.125
"Latvia","FK Jelgava",0
"Estonia","Kalju Nomme",0.625
"Estonia","FCI Tallinn",0
"Estonia","Flora Tallinn",0
"Estonia","Levadia Tallinn",0
"Armenia","Alashkert FC",0.5
"Armenia","Shirak Gyumri",0.125
"Armenia","Gandzasar Kapan",0
"Armenia","Pyunik Yerevan",0
"Gibraltar","Europa FC",0.333333333333333
"Gibraltar","Lincoln Red Imps",0.166666666666667
"Gibraltar","St Joseph's FC",0
"Wales","Connah's Quay",0.25
"Wales","The New Saints",0.25
"Wales","Bala Town",0
"Wales","Bangor City",0
"Andorra","FC Santa Coloma",0.166666666666667
"Andorra","UE Santa Coloma",0
"Andorra","Sant Julià",0
"San Marino","La Fiorita",0.166666666666667
"San Marino","Tre Penne",0
"San Marino","Folgore",0
"Georgia","Chikhura Sachkhere",0.125
"Georgia","Samtredia",0
"Georgia","Torpedo Kutaisi",0
"Georgia","Dinamo Batumi",0
"Kosovo","Trepça'89",0
"Kosovo","FC Prishtina",0
